date,revenue_trend
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,1447.99
2017-01-08,507.85
2017-01-09,774.51
2017-01-10,1571.17
2017-01-11,2098.78
2017-01-12,1720.3500000000001
2017-01-13,2712.86
2017-01-14,1161.08
2017-01-15,2551.34
2017-01-16,3668.38
2017-01-17,3893.61
2017-01-18,3811.68
2017-01-19,4140.16
2017-01-20,4656.05
2017-01-21,2897.86
2017-01-22,4141.87
2017-01-23,7221.59
2017-01-24,5954.18
2017-01-25,8196.05
2017-01-26,14824.8
2017-01-27,12458.14
2017-01-28,5736.98
2017-01-29,6593.76
2017-01-30,11290.93
2017-01-31,11818.15
2017-02-01,8788.7
2017-02-02,10342.54
2017-02-03,10797.07
2017-02-04,15320.15
2017-02-05,10035.21
2017-02-06,10893.73
2017-02-07,16020.23
2017-02-08,13517.96
2017-02-09,10568.42
2017-02-10,14492.58
2017-02-11,5233.15
2017-02-12,16389.82
2017-02-13,12174.71
2017-02-14,12363.65
2017-02-15,7734.14
2017-02-16,6842.42
2017-02-17,8059.2
2017-02-18,8456.59
2017-02-19,4195.81
2017-02-20,8318.07
2017-02-21,8982.23
2017-02-22,7024.96
2017-02-23,7792.79
2017-02-24,7779.2
2017-02-25,4347.75
2017-02-26,6101.02
2017-02-27,6727.34
2017-02-28,11999.21
2017-03-01,14190.98
2017-03-02,12575.46
2017-03-03,13919.14
2017-03-04,10024.79
2017-03-05,8092.32
2017-03-06,10605.15
2017-03-07,13190.06
2017-03-08,14778.27
2017-03-09,13001.78
2017-03-10,14005.74
2017-03-11,12108.32
2017-03-12,7711.89
2017-03-13,18563.44
2017-03-14,16171.19
2017-03-15,16477.95
2017-03-16,16467.91
2017-03-17,13522.029999999999
2017-03-18,17593.329999999998
2017-03-19,7728.08
2017-03-20,19327.85
2017-03-21,13166.64
2017-03-22,16338.04
2017-03-23,18402.829999999998
2017-03-24,11554.39
2017-03-25,10896.76
2017-03-26,7356.91
2017-03-27,18517.1
2017-03-28,13533.91
2017-03-29,9662.03
2017-03-30,11172.34
2017-03-31,13712.76
2017-04-01,18862.37
2017-04-02,10452.22
2017-04-03,10300.27
2017-04-04,14152.99
2017-04-05,20080.09
2017-04-06,20966.29
2017-04-07,14605.91
2017-04-08,9688.06
2017-04-09,9077.65
2017-04-10,13049.66
2017-04-11,8420.13
2017-04-12,8925.15
2017-04-13,11216.11
2017-04-14,7950.88
2017-04-15,9225.82
2017-04-16,6063.82
2017-04-17,8628.01
2017-04-18,23433.86
2017-04-19,13527.61
2017-04-20,14461.9
2017-04-21,10101.02
2017-04-22,14760.97
2017-04-23,11506.539999999999
2017-04-24,15435.59
2017-04-25,16145.47
2017-04-26,18037.64
2017-04-27,11475.53
2017-04-28,17803.15
2017-04-29,13307.91
2017-04-30,9289.56
2017-05-01,13923.19
2017-05-02,19905.71
2017-05-03,12124.87
2017-05-04,15778.17
2017-05-05,15920.31
2017-05-06,16618.04
2017-05-07,18674.86
2017-05-08,18708.37
2017-05-09,23492.4
2017-05-10,22648.56
2017-05-11,21063.52
2017-05-12,13918.65
2017-05-13,9781.86
2017-05-14,16520.56
2017-05-15,21065.32
2017-05-16,24213.16
2017-05-17,21127.09
2017-05-18,20806.7
2017-05-19,20483.89
2017-05-20,12239.93
2017-05-21,20063.3
2017-05-22,27312.02
2017-05-23,19919.26
2017-05-24,26552.809999999998
2017-05-25,17383.91
2017-05-26,12246.38
2017-05-27,15158.26
2017-05-28,11120.71
2017-05-29,20620.45
2017-05-30,15732.56
2017-05-31,21941.91
2017-06-01,21749.38
2017-06-02,21013.76
2017-06-03,12232.84
2017-06-04,15701.85
2017-06-05,25970.01
2017-06-06,16125.71
2017-06-07,15102.210000000001
2017-06-08,21919.44
2017-06-09,18447.99
2017-06-10,9467.0
2017-06-11,16397.4
2017-06-12,16726.27
2017-06-13,16307.27
2017-06-14,23217.67
2017-06-15,14140.56
2017-06-16,14547.83
2017-06-17,12474.050000000001
2017-06-18,17556.37
2017-06-19,25319.01
2017-06-20,13653.9
2017-06-21,7199.700000000001
2017-06-22,10159.55
2017-06-23,15044.51
2017-06-24,9781.5
2017-06-25,19861.190000000002
2017-06-26,14631.39
2017-06-27,19609.72
2017-06-28,16840.29
2017-06-29,14276.78
2017-06-30,14750.449999999999
2017-07-01,13357.44
2017-07-02,13372.33
2017-07-03,17715.56
2017-07-04,17626.42
2017-07-05,23844.87
2017-07-06,24168.19
2017-07-07,15647.8
2017-07-08,11897.07
2017-07-09,9915.73
2017-07-10,20397.34
2017-07-11,22602.059999999998
2017-07-12,21775.739999999998
2017-07-13,17675.37
2017-07-14,21665.78
2017-07-15,13070.37
2017-07-16,15084.95
2017-07-17,25134.75
2017-07-18,31860.71
2017-07-19,19302.12
2017-07-20,21031.58
2017-07-21,14917.53
2017-07-22,13279.2
