date,revenue_trend
2018-07-25,47599.78
2018-07-26,41183.98
2018-07-27,33017.33
2018-07-28,29350.49
2018-07-29,34233.31
2018-07-30,44165.92
2018-07-31,52768.27
2018-08-01,48066.11
2018-08-02,44852.24
2018-08-03,48819.75
2018-08-04,40250.11
2018-08-05,41282.34
2018-08-06,62728.23
2018-08-07,55643.03
2018-08-08,50376.96
2018-08-09,46246.05
2018-08-10,38934.43
2018-08-11,30511.579999999998
2018-08-12,34260.37
2018-08-13,45431.38
2018-08-14,51138.46
2018-08-15,52083.74
2018-08-16,41699.15
2018-08-17,36948.84
2018-08-18,28475.76
2018-08-19,29989.35
2018-08-20,39054.09
2018-08-21,30773.18
2018-08-22,24203.63
2018-08-23,19522.579999999998
